
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"

"E05001553 : Bank Top",1872,630,621,459,150,12
"E05001554 : Central",2126,664,700,529,210,23
"E05001555 : Cockerton East",2257,1043,654,466,91,3
"E05001556 : Cockerton West",1880,526,589,574,181,10
"E05001557 : College",1851,1108,486,213,39,5
"E05001558 : Eastbourne",2758,994,924,641,188,11
"E05001559 : Faverdale",1204,807,300,83,12,2
"E05001560 : Harrowgate Hill",2511,1172,843,422,71,3
"E05001561 : Haughton East",1784,619,581,454,121,9
"E05001562 : Haughton North",1544,689,534,258,60,3
"E05001563 : Haughton West",2147,922,674,436,111,4
"E05001564 : Heighington and Coniscliffe",1582,907,463,184,24,4
"E05001565 : Hummersknott",1434,783,470,168,13,0
"E05001566 : Hurworth",1604,844,516,210,34,0
"E05001567 : Lascelles",1851,604,637,430,166,14
"E05001568 : Lingfield",1706,554,614,432,102,4
"E05001569 : Middleton St George",1884,1080,543,219,42,0
"E05001570 : Mowden",1680,826,571,260,20,3
"E05001571 : North Road",2933,1039,956,673,235,30
"E05001572 : Northgate",2227,795,745,487,168,32
"E05001573 : Park East",2727,1009,895,577,228,18
"E05001574 : Park West",1581,870,469,214,23,5
"E05001575 : Pierremont",2667,1267,842,445,105,8
"E05001576 : Sadberge and Whessoe",860,432,295,120,13,0
"E05007955 : Annfield Plain",3522,1190,1106,945,267,14
"E05007956 : Aycliffe East",2787,1026,889,704,163,5
"E05007957 : Aycliffe North",3271,1466,998,642,160,5
"E05007958 : Aycliffe West",3335,1076,1078,919,256,6
"E05007959 : Barnard Castle East",3856,1720,1270,723,134,9
"E05007960 : Barnard Castle West",3563,1752,1197,522,84,8
"E05007961 : Belmont",2750,1321,911,462,53,3
"E05007962 : Benfieldside",2912,1381,922,506,101,2
"E05007963 : Bishop Auckland Town",3565,1482,1178,731,163,11
"E05007964 : Blackhalls",3371,992,1090,974,295,20
"E05007965 : Brandon",4355,1725,1308,1020,286,16
"E05007966 : Burnopfield and Dipton",3543,1603,1066,711,157,6
"E05007967 : Chester-le-Street North and East",3820,1760,1231,685,138,6
"E05007968 : Chester-le-Street South",3597,1709,1103,641,139,5
"E05007969 : Chester-le-Street West Central",3541,1257,1045,950,267,22
"E05007970 : Chilton",3950,1382,1223,1034,299,12
"E05007971 : Consett North",3978,1668,1156,892,239,23
"E05007972 : Coundon",3151,993,1011,830,294,23
"E05007973 : Coxhoe",3080,1174,955,757,184,10
"E05007974 : Craghead and South Moor",3438,1082,1044,989,306,17
"E05007975 : Crook North and Tow Law",3359,1265,1048,804,229,13
"E05007976 : Crook South",3826,1370,1207,967,270,12
"E05007977 : Dawdon",3115,965,998,854,283,15
"E05007978 : Deerness Valley",4279,1712,1312,968,279,8
"E05007979 : Delves Lane and Consett South",5275,2154,1597,1157,352,15
"E05007980 : Deneside",3104,817,952,959,359,17
"E05007981 : Durham South",2879,1383,827,553,110,6
"E05007982 : Easington",3452,1106,1005,1014,310,17
"E05007983 : Elvet",1668,867,557,208,29,7
"E05007984 : Esh",2878,1212,877,664,117,8
"E05007985 : Evenwood",3692,1428,1167,871,217,9
"E05007986 : Ferryhill",4163,1357,1256,1197,342,11
"E05007987 : Framwellgate Moor",4487,2102,1344,842,194,5
"E05007988 : Gilesgate",3616,1506,1086,773,236,15
"E05007989 : Horden",3628,845,1006,1243,509,25
"E05007990 : Lanchester",3411,1529,1108,665,100,9
"E05007991 : Leadgate and Medomsley",4248,1833,1306,866,232,11
"E05007992 : Lumley",3213,1402,1029,622,158,2
"E05007993 : Murton",3511,1140,1069,988,296,18
"E05007994 : Neville's Cross",3546,2298,971,224,51,2
"E05007995 : Newton Hall",3353,1700,1068,505,78,2
"E05007996 : Ouston and Urpeth",3268,1532,1045,546,138,7
"E05007997 : Pelton",3645,1574,1131,749,180,11
"E05007998 : Peterlee East",3081,781,966,971,349,14
"E05007999 : Peterlee West",3081,1016,969,837,248,11
"E05008000 : Sacriston",2897,1185,888,635,180,9
"E05008001 : Seaham",3612,1642,1026,770,164,10
"E05008002 : Sedgefield",2997,1582,873,469,71,2
"E05008003 : Sherburn",4118,1714,1262,905,226,11
"E05008004 : Shildon East",3775,1390,1237,877,258,13
"E05008005 : Shildon West",3255,1051,1008,924,252,20
